Symbol,Description,Assets under management,Assets under management - Currency,Asset class,Focus,Brand,Category,Country of registration,Niche,Region,Strategy,Leverage,Portfolio transparency,Selection criteria,Weighting scheme,Index provider,Currency hedged,Derivative holdings,Tax form,UCITS compliance,Fund flows 1 month,Fund flows 1 month - Currency,Net assets value,Net assets value - Currency
TCAF,"T. Rowe Price Exchange-Traded Funds, Inc. T. Rowe Price Capital Appreciation Equity ETF",2944086335.1,USD,Equity,Large cap,T. Rowe Price,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,230498020.7,USD,34.237858,USD
MDYG,SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: MUV),2923473589.2,USD,Equity,Mid cap,SPDR,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Fundamental,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,41311853.05,USD,91.98033,USD
NEAR,iShares Short Duration Bond Active ETF,2922042135,USD,Fixed income,Investment grade,iShares,"Broad market, broad-based",United States,Short-term,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,10148680,USD,50.6466,USD
FBCG,Fidelity Blue Chip Growth ETF,2919915818.75,USD,Equity,Large cap,Fidelity,Size and style,United States,Growth,Global,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,195776768.32500005,USD,47.742284,USD
NUGO,Nuveen Growth Opportunities ETF,2914099067.9544,USD,Equity,Large cap,Nuveen,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-65001657.37650001,USD,35.78820598,USD
EWC,iShares MSCI Canada Index Fund,2906641760,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,81458490,USD,42.0369,USD
COPX,Global X Copper Miners ETF,2905787536.76354,USD,Equity,Materials,Global X,Sector,United States,Copper miners,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,477751890.90243095,USD,41.19,USD
USRT,iShares Core U.S. REIT ETF,2899467159.95,USD,Equity,Real estate,iShares,Sector,United States,REITs,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,24325817.099999998,USD,59.922065,USD
TDIV,First Trust NASDAQ Technology Dividend Index Fund,2890013770,USD,Equity,Information technology,First Trust,Sector,United States,Broad-based,Global,Dividends,Non-leveraged,Transparent,Dividends,Tiered,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-4042900,USD,81.022,USD
ISMJF,IShares VII PLC,2858010218.5125,USD,Equity,Total market,iShares,Size and style,Ireland,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,23983745,USD,188.0693,USD
DFLV,Dimensional US Large Cap Value ETF,2856843314.842,USD,Equity,Large cap,Dimensional,Size and style,United States,Value,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,138447201.318,USD,31.15543398,USD
HYMB,SPDR Nuveen Bloomberg High Yield Municipal Bond ETF,2850818960,USD,Fixed income,High yield,SPDR,"Government, local authority/municipal",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,51920556,USD,25.830776,USD
GNR,SPDR S&P Global Natural Resources ETF,2843852527.95,USD,Equity,Theme,SPDR,Sector,United States,Natural resources,Global,Equal,Non-leveraged,Transparent,Market cap,Tiered,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-73184362.32499999,USD,53.186539,USD
DEM,WisdomTree Emerging Markets High Dividend Fund,2836425800,USD,Equity,High dividend yield,WisdomTree,High dividend yield,United States,Broad-based,Emerging markets,Dividends,Non-leveraged,Transparent,Dividends,Dividends,"WisdomTree Asset Management, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,41.809,USD
IGLB,iShares 10 Year Investment Grade Corporate Bond ETF,2812535000,USD,Fixed income,Investment grade,iShares,"Corporate, broad-based",United States,Long-term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,81030850,USD,50.7765,USD
KBWB,Invesco KBW Bank ETF,2807246880,USD,Equity,Financials,Invesco,Sector,United States,Banks,North America,Multi-factor,Non-leveraged,Transparent,Committee,Tiered,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,349821210,USD,67.823,USD
IEMXF,ISHARES VI PLC EDGE MSCI WLD MIN VOL UCITS ETF USD ACC,2799801938.1217,USD,Equity,Total market,iShares,Size and style,Ireland,Broad-based,Developed markets,Low volatility,Non-leveraged,Transparent,Multi-factor,Multi-factor,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,-100015766.1716,USD,67.8891,USD
IHDG,WisdomTree International Hedged Quality Dividend Growth Fund,2794049450,USD,Equity,Total market,WisdomTree,Size and style,United States,Broad-based,Developed markets,Multi-factor,Non-leveraged,Transparent,Multi-factor,Dividends,"WisdomTree Asset Management, Inc.",Hedged,Holds,1099 (corporations),Non-compliant,15880200,USD,44.724,USD
USCA,DBX ETF Trust Xtrackers MSCI USA Climate Action Equity ETF,2766136838.472,USD,Equity,Theme,Xtrackers,Sector,United States,Low carbon,North America,ESG,Non-leveraged,Semi or non-transparent,Principles-based,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-48320750,USD,38.329,USD
IBDS,iShares iBonds Dec 2027 Term Corporate ETF,2723277450,USD,Fixed income,Investment grade,iShares,"Corporate, broad-based",United States,Intermediate,North America,Bullet maturity,Non-leveraged,Transparent,Maturity,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,96133620,USD,24.0256,USD
FHLC,Fidelity MSCI Health Care Index ETF,2708881370,USD,Equity,Health care,Fidelity,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-23800685,USD,67.1683,USD
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,2706958660,USD,Equity,Extended market,Invesco,Size and style,United States,Broad-based,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Fundamental,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-14511340,USD,44.013,USD
BOTZ,Global X Robotics & Artificial Intelligence ETF,2697750223.78841,USD,Equity,Theme,Global X,Sector,United States,Robotics & AI,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,indxx LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,29267749.26428523,USD,33.01,USD
FAS,Direxion Financial Bull 3X Shares,2666896021.68,USD,Equity,Financials,Direxion,Sector,United States,Broad-based,North America,Vanilla,Leveraged 3x,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,-24189250,USD,161.66,USD
EMLC,VanEck J. P. Morgan EM Local Currency Bond ET,2664588059.4468,USD,Fixed income,Broad credit,VanEck,"Government, treasury",United States,Broad maturities,Emerging markets,Vanilla,Non-leveraged,Transparent,Market value,Tiered,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-66419500,USD,23.738,USD
VCRPF,Vanguard Funds PLC,2660567064.6576,USD,Fixed income,Investment grade,Vanguard,"Corporate, broad-based",Ireland,Broad maturities,Global,Vanilla,Non-leveraged,Semi or non-transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Compliant,45540750.1249,USD,57.225,USD
IISHF,Ishares III Plc,2642018618.3364,USD,Fixed income,Broad credit,iShares,"Government, broad-based",Ireland,Broad maturities,Emerging markets,Vanilla,Non-leveraged,Transparent,Market value,Market value,,Unhedged,Doesn't hold,1099 (corporations),Compliant,-236008040.7627,USD,43.3923,USD
USCL,iShares Climate Conscious & Transition MSCI USA ETF,2636224600.425,USD,Equity,Theme,iShares,Sector,United States,Low carbon,North America,ESG,Non-leveraged,Transparent,Principles-based,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-40927463.30000001,USD,72.80693,USD
IEMMF,ISHARES IV PLC,2634755340,USD,Equity,Total market,iShares,Size and style,Ireland,Broad-based,Developed markets,Momentum,Non-leveraged,Transparent,Momentum,Momentum,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,163233825,USD,82.2081,USD
XAR,SPDR S&P Aerospace & Defense ETF,2633986475.475,USD,Equity,Industrials,SPDR,Sector,United States,Aerospace & defense,North America,Equal,Non-leveraged,Transparent,Market cap,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,63504554.925000004,USD,168.270087,USD
AIQ,Global X Artificial Intelligence & Technology ETF,2630244838.74449,USD,Equity,Theme,Global X,Sector,United States,Robotics & AI,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,indxx LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,151807467.69993412,USD,40.09,USD
ICVT,iShares Convertible Bond ETF,2611448160,USD,Fixed income,Broad credit,iShares,"Corporate, convertible",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,135464310,USD,88.132,USD
ITBFF,IShares Plc.,2604622235.884,USD,Fixed income,Investment grade,iShares,"Government, treasury",Ireland,Short-term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,-406569605.5647,USD,127.8725,USD
CGMU,Capital Group Municipal Income ETF,2602264073.64,USD,Fixed income,Broad credit,Capital Group,"Government, local authority/municipal",United States,Broad maturities,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,78238727.52,USD,27.126182,USD
USMC,Principal U.S. Mega-Cap ETF,2597113690.9365,USD,Equity,Large cap,Principal,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-85435646,USD,61.3537,USD
IMCG,iShares Morningstar Mid-Cap Growth ETF,2582964010.8,USD,Equity,Mid cap,iShares,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Fundamental,Market cap,"Morningstar, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,59408449.85,USD,79.430036,USD
XDWHF,XTRACKERS IE PLC,2577939401.6431,USD,Equity,Health care,Xtrackers,Sector,Ireland,Broad-based,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,167164916.79999998,USD,52.5015,USD
AAXJ,iShares MSCI All Country Asia ex Japan ETF,2575786680,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,75.3868,USD
SPYI,NEOS S&P 500 High Income ETF,2571010400,USD,Equity,Large cap,Neos,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,356154800,USD,52.4988,USD
BITO,ProShares Bitcoin ETF,2560400416,USD,Currency,"Long Bitcoin, short USD",ProShares,Pair,United States,Derivative,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-361911775,USD,26.1773,USD
LCYFF,LEGAL & GENERAL UCITS ETF PLC L&G ISE CYBER SECURITY GO UCITS ETF USD,2551903873.1784,USD,Equity,Theme,L&G,Sector,Ireland,Cybersecurity,Global,ESG,Non-leveraged,Semi or non-transparent,Principles-based,Tiered,Nasdaq ISE LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,-40474107.75,USD,28.9792,USD
GSUS,Goldman Sachs MarketBeta U.S. Equity ETF,2544005000,USD,Equity,Total market,Goldman Sachs,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-160186000,USD,83.42,USD
ILCG,iShares Morningstar Large-Cap Growth ETF,2535660418.2,USD,Equity,Total market,iShares,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Fundamental,Market cap,"Morningstar, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-50800684.5,USD,92.808514,USD
IVOO,Vanguard S&P Mid-Cap 400 ETF,2519200948.1344,USD,Equity,Mid cap,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,81440600,USD,111.13,USD
IHSFF,iShares II plc.,2498544596.0928,USD,Fixed income,Investment grade,iShares,"Government, inflation-linked",Ireland,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Compliant,-14877444.180100001,USD,240.8998,USD
PYLD,PIMCO U.S. Treasury Index Fund PIMCO Multisector Bond Active Exchange-Traded Fund,2483489600,USD,Fixed income,Broad credit,PIMCO,"Broad market, broad-based",United States,Broad maturities,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,292947600,USD,26.06,USD
VVSMF,VANECK UCITS ETFS PLC SEMICONDUCTOR UCITS ETF A USD,2475805200,USD,Equity,Information technology,VanEck,Sector,Ireland,Semiconductors,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,MarketVector Indexes GmbH,Unhedged,Doesn't hold,1099 (corporations),Compliant,-47473580,USD,42.2732,USD
JAVA,JPMorgan Active Value ETF,2473198000,USD,Equity,Large cap,JPMorgan,Size and style,United States,Value,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,379977250,USD,65.81,USD
NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,2455726966.9114,USD,Equity,Theme,FlexShares,Sector,United States,Infrastructure,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,STOXX AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,8607735,USD,56.6254,USD
CPLCF,IShares VII PLC,2451058354.0838,USD,Equity,Small cap,iShares,Size and style,Ireland,Broad-based,North America,ESG,Non-leveraged,Transparent,Principles-based,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,285923992.79999995,USD,562.8272,USD
KBE,SPDR S&P Bank ETF,2433659910.75172,USD,Equity,Financials,SPDR,Sector,United States,Broad-based,North America,Equal,Non-leveraged,Transparent,Market cap,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,19513625.150000002,USD,59.065116,USD
JPIE,JPMorgan Income ETF,2432232000,USD,Fixed income,Broad credit,JPMorgan,"Broad market, broad-based",United States,Broad maturities,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,181676700,USD,45.61,USD
TNA,Direxion Small Cap Bull 3X Shares,2430801500.48782,USD,Equity,Small cap,Direxion,Size and style,United States,Broad-based,North America,Vanilla,Leveraged 3x,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Holds,1099 (corporations),Non-compliant,48579300,USD,49.62,USD
PFFD,Global X U.S. Preferred ETF,2420571634.12587,USD,Fixed income,Broad credit,Global X,"Corporate, preferred",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-24897484.610965677,USD,20.02,USD
IBDT,iShares iBonds Dec 2028 Term Corporate ETF,2419149255,USD,Fixed income,Investment grade,iShares,"Corporate, broad-based",United States,Intermediate,North America,Bullet maturity,Non-leveraged,Transparent,Maturity,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,65131940,USD,25.0411,USD
BZSPF,BMO S&P 500 INDEX ETF,2408046076.067,USD,Equity,Large cap,BMO,Size and style,Canada,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-42395903.550000004,USD,66.264345,USD
KLMN,Invesco Exchange-Traded Fund Trust II Invesco MSCI North America Climate ETF,2402732424.796,USD,Equity,Theme,Invesco,Sector,United States,Environment,North America,ESG,Non-leveraged,Transparent,Principles-based,Principles-based,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2415844768.253051,USD,24.79,USD
BSCR,Invesco BulletShares 2027 Corporate Bond ETF,2389131750,USD,Fixed income,Investment grade,Invesco,"Corporate, broad-based",United States,Intermediate,North America,Bullet maturity,Non-leveraged,Transparent,Maturity,Market value,Invesco Indexing LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,78994050,USD,19.525,USD
UITB,VictoryShares Core Intermediate Bond ETF,2377315795.968,USD,Fixed income,Investment grade,VictoryShares,"Government, broad-based",United States,Intermediate,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,20862067.2875,USD,46.26023759,USD
LRGF,iShares U.S. Equity Factor ETF,2364228871.1,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Multi-factor,Non-leveraged,Transparent,Multi-factor,Multi-factor,STOXX AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,22118929.1,USD,62.354057,USD
FLRN,SPDR Bloomberg Investment Grade Floating Rate ETF,2363831560.8,USD,Fixed income,Investment grade,SPDR,"Broad market, broad-based",United States,Floating rate,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,58418166.099999994,USD,30.752155,USD
IWX,iShares Russell Top 200 Value ETF,2360705459.15,USD,Equity,Large cap,iShares,Size and style,United States,Value,North America,Value,Non-leveraged,Transparent,Multi-factor,Multi-factor,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-29513668.85,USD,81.692634,USD
IYY,iShares Dow Jones U.S. ETF,2359181167.75,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,147.873132,USD
GSY,Invesco Ultra Short Duration ETF,2358742000,USD,Fixed income,Investment grade,Invesco,"Broad market, broad-based",United States,Ultra-short term,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,55244200,USD,50.186,USD
IMTM,iShares MSCI Intl Momentum Factor ETF,2354002810,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Developed markets,Momentum,Non-leveraged,Transparent,Momentum,Momentum,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,51560600,USD,39.1225,USD
AOR,iShares Core Growth Allocation ETF,2343456957.6,USD,Asset allocation,Target outcome,iShares,Asset allocation,United States,Capital appreciation,Global,Fixed asset allocation,Non-leveraged,Transparent,Fixed,Fixed,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,117791349.25,USD,59.057737,USD
XOP,SPDR S&P Oil & Gas Explor & Product,2343297439.8,USD,Equity,Energy,SPDR,Sector,United States,"Oil, gas & consumable fuels",North America,Equal,Non-leveraged,Transparent,Market cap,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-113941440.75,USD,135.896366,USD
MSTU,ETF Opportunities Trust T-Rex 2X Long MSTR Daily Target ETF,2340858400,USD,Equity,Information technology,T-Rex,Sector,United States,Application software,North America,Vanilla,Leveraged 2x,Transparent,Single asset,Single asset,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,462746800,USD,164.19,USD
VNLA,Janus Henderson Short Duration Income ETF,2340227500,USD,Fixed income,Broad credit,Janus Henderson,"Broad market, broad-based",United States,Short-term,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,78396000,USD,49.01,USD
IVSRF,iShares II plc.,2338480467.379,USD,Fixed income,Investment grade,iShares,"Corporate, broad-based",Ireland,Floating rate,Global,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Compliant,193889280.27029994,USD,6.1082,USD
SGACF,SSGA SPDR ETFS Europe I PLC,2328389036.1816,USD,Equity,Total market,SPDR,Size and style,Ireland,Broad-based,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,93233573.26539999,USD,244.9356,USD
MLPX,Global X MLP & Energy Infrastructure ETF,2309969674.00038,USD,Equity,Energy,Global X,Sector,United States,MLPs,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,96976601.49498172,USD,60.92,USD
EAGL,The 2023 ETF Series Trust Eagle Capital Select Equity ETF,2309271242.07,USD,Equity,Total market,Eagle,Size and style,United States,Value,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,74742510,USD,28.78,USD
FLCB,Franklin U.S. Core Bond ETF,2291928000,USD,Fixed income,Investment grade,Franklin,"Broad market, broad-based",United States,Broad maturities,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,28639500,USD,21.21,USD
IWATF,iShares II plc.,2286896021.788,USD,Equity,Theme,iShares,Sector,Ireland,Water,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,-8733857.7536,USD,67.9056,USD
PHO,Invesco Water Resources ETF,2267630470,USD,Equity,Theme,Invesco,Sector,United States,Water,North America,Vanilla,Non-leveraged,Transparent,Market cap,Tiered,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-16115290,USD,69.54,USD
ISVFF,ISHARES V PLC,2264973338.2212,USD,Equity,Health care,iShares,Sector,Ireland,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,-185918925,USD,11.0915,USD
XTRKF,XTRACKERS IE PLC,2248816320.3086,USD,Equity,Small cap,Xtrackers,Size and style,Ireland,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Compliant,348673361.3,USD,345.3831,USD
VNFGF,Vanguard Funds PLC,2240380734.3553,USD,Equity,Total market,Vanguard,Size and style,Ireland,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Compliant,-7762936.500099997,USD,36.171,USD
FTGC,First Trust Global Tactical Commodity Strategy Fund,2232012986.034,USD,Commodities,Broad market,First Trust,Broad market,United States,Variable,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-15380100,USD,24.029,USD
FTSL,First Trust Senior Loan Fund,2218035342.902,USD,Fixed income,High yield,First Trust,"Corporate, bank loans",United States,Floating rate,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Hedged,Doesn't hold,1099 (corporations),Non-compliant,34651700,USD,46.204,USD
SQQQ,ProShares UltraPro Short QQQ,2211104896.37,USD,Equity,Large cap,ProShares,Size and style,United States,Broad-based,North America,Exchange-specific,Inverse 3x,Transparent,NASDAQ - listed,Market cap,NASDAQ,Unhedged,Holds,1099 (corporations),Non-compliant,-113189566.18199998,USD,28.9297,USD
ISRUF,ISHARES V PLC,2210978000,USD,Equity,Financials,iShares,Sector,Ireland,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,493443250,USD,14.3187,USD
KOMP,SPDR S&P Kensho New Economies Composite ETF,2204920654.975,USD,Equity,Theme,SPDR,Sector,United States,Broad thematic,Global,Fundamental,Non-leveraged,Transparent,Fundamental,Tiered,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,19231817.95,USD,53.610029,USD
ISHBF,ISHARES IV PLC,2204151922.3204,USD,Fixed income,Investment grade,iShares,"Government, treasury",Ireland,Long-term,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,-455973748.6897999,USD,4.5212,USD
XHB,SPDR Series Trust SPDR Homebuilders ETF,2201443995.28742,USD,Equity,Theme,SPDR,Sector,United States,Housing,North America,Equal,Non-leveraged,Transparent,Market cap,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,99669341.19999997,USD,114.425449,USD
DFIS,Dimensional International Small Cap ETF,2199361866.78,USD,Equity,Small cap,Dimensional,Size and style,United States,Broad-based,Developed markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,62813571.588000014,USD,25.19625696,USD
DISV,Dimensional International Small Cap Value ETF,2199049068.8,USD,Equity,Small cap,Dimensional,Size and style,United States,Value,Developed markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,35600656.662499994,USD,27.25084265,USD
AOA,iShares Core Aggressive Allocation ETF,2197595039.7,USD,Asset allocation,Target risk,iShares,Asset allocation,United States,Aggressive,Global,Fixed asset allocation,Non-leveraged,Transparent,Fixed,Fixed,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,51523598.55,USD,79.208698,USD
DFGR,Dimensional Global Real Estate ETF,2170517544.9,USD,Equity,Real estate,Dimensional,Sector,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,101459790.05449998,USD,26.97464241,USD
IMSIF,iShares II plc.,2165764688.7945,USD,Equity,Theme,iShares,Sector,Ireland,Renewable energy,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,-121179209.29879999,USD,6.8473,USD
